hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
Resort Hotel,1,31,January,1,4,2,2,0,0,0,G,0,No Deposit,0,Transient,88,0,0,Canceled
Resort Hotel,1,47,January,1,4,2,0,0,0,0,A,0,No Deposit,0,Transient,72,0,2,Canceled
Resort Hotel,1,20,January,1,5,2,1,1,0,0,G,1,No Deposit,0,Transient,88,0,1,Canceled
Resort Hotel,1,173,January,1,5,2,0,0,0,0,G,2,No Deposit,0,Transient,78.3,0,1,Canceled
Resort Hotel,1,36,January,3,7,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,2,Canceled
Resort Hotel,1,23,January,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,88,0,0,Canceled
Resort Hotel,1,46,January,0,3,2,1,0,0,0,G,0,No Deposit,0,Transient,79.8,0,0,Canceled
Resort Hotel,1,56,January,0,4,3,0,0,0,0,E,0,No Deposit,0,Transient,62,0,2,Canceled
Resort Hotel,1,56,January,0,4,2,1,0,0,0,H,0,No Deposit,0,Transient,87,0,2,Canceled
Resort Hotel,1,149,January,0,5,2,2,0,0,0,G,0,No Deposit,0,Transient,87,0,0,Canceled
Resort Hotel,1,44,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,68,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,1,Canceled
Resort Hotel,1,6,January,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,39,0,0,Canceled
Resort Hotel,1,23,January,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,43,January,1,4,2,0,0,0,0,A,2,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,43,January,1,4,1,0,0,0,0,A,2,No Deposit,0,Transient,37,0,0,Canceled
Resort Hotel,1,112,January,2,4,2,0,0,0,0,D,0,No Deposit,0,Transient,52,0,2,No-Show
Resort Hotel,1,59,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,2,Canceled
Resort Hotel,1,65,January,2,8,3,1,0,0,0,H,0,No Deposit,0,Transient,87,0,0,Canceled
Resort Hotel,1,93,January,0,3,2,0,0,0,0,A,1,No Deposit,0,Transient,51.84,0,0,Canceled
Resort Hotel,1,4,January,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,115,January,2,3,2,0,0,0,0,E,0,No Deposit,0,Transient,92,0,0,Canceled
Resort Hotel,1,187,January,2,5,1,0,0,0,0,D,0,No Deposit,0,Transient,80.1,0,1,Canceled
Resort Hotel,1,11,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,60,0,1,Canceled
Resort Hotel,1,11,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,60,0,1,Canceled
Resort Hotel,1,2,January,2,3,1,0,0,0,0,A,0,No Deposit,0,Transient,43,0,1,No-Show
Resort Hotel,1,32,January,2,6,2,0,0,0,0,D,0,No Deposit,0,Transient,53.5,0,0,Canceled
Resort Hotel,1,27,January,4,10,2,0,0,0,0,A,0,No Deposit,0,Transient,38.86,0,0,Canceled
Resort Hotel,1,15,January,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,78,0,0,Canceled
Resort Hotel,1,42,January,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,62,0,0,Canceled
Resort Hotel,1,86,January,1,1,2,0,0,0,0,D,0,No Deposit,0,Transient,56.4,0,2,Canceled
Resort Hotel,1,23,January,2,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,36,January,2,1,2,0,0,0,0,A,0,No Deposit,0,Transient,44,0,0,Canceled
Resort Hotel,1,66,January,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,1,Canceled
Resort Hotel,1,140,January,2,5,2,0,0,0,0,C,1,No Deposit,0,Transient,37.8,0,2,Canceled
Resort Hotel,1,113,January,1,0,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,113,January,1,0,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,102,January,2,3,2,0,0,0,0,E,0,No Deposit,0,Transient,55.8,0,2,Canceled
Resort Hotel,1,52,January,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,67.8,0,0,Canceled
Resort Hotel,1,85,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,2,Canceled
Resort Hotel,1,125,January,1,2,2,0,0,0,0,E,0,No Deposit,0,Transient,55.8,0,2,Canceled
Resort Hotel,1,161,January,2,5,1,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,0,Canceled
Resort Hotel,1,161,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,0,Canceled
Resort Hotel,1,154,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,0,Canceled
Resort Hotel,1,154,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,0,Canceled
Resort Hotel,1,0,January,0,1,2,0,0,0,0,G,0,No Deposit,0,Transient,0,0,0,Canceled
Resort Hotel,1,322,January,16,40,2,0,0,0,0,A,0,No Deposit,0,Transient,25.5,0,0,Canceled
Resort Hotel,1,1,January,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,41,0,0,Canceled
Resort Hotel,1,0,January,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,2,January,0,1,1,0,0,0,0,D,0,No Deposit,0,Transient,39,0,0,Canceled
Resort Hotel,1,1,January,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,0,0,0,Canceled
Resort Hotel,1,5,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,78,0,0,Canceled
Resort Hotel,1,35,January,0,2,2,0,0,0,0,E,1,No Deposit,0,Transient,62,0,1,Canceled
Resort Hotel,1,37,January,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,1,Canceled
Resort Hotel,1,58,January,4,10,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,60,January,0,3,1,0,0,0,0,A,0,No Deposit,0,Transient,37,0,2,Canceled
Resort Hotel,1,129,January,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,47.8,0,0,Canceled
Resort Hotel,1,84,January,4,12,1,0,0,0,0,A,0,No Deposit,0,Transient,33.31,0,1,No-Show
Resort Hotel,1,115,January,2,6,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,1,Canceled
Resort Hotel,1,78,January,0,2,2,0,0,0,0,F,0,No Deposit,0,Transient,54.27,0,1,Canceled
Resort Hotel,1,10,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,44,0,0,Canceled
Resort Hotel,1,82,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient,37,0,0,Canceled
Resort Hotel,1,11,January,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,78,0,1,Canceled
Resort Hotel,1,8,January,0,1,2,1,0,0,0,D,1,No Deposit,0,Transient,75.5,0,2,Canceled
Resort Hotel,1,18,January,1,1,2,0,0,0,0,E,0,No Deposit,0,Transient,68,0,2,Canceled
Resort Hotel,1,22,January,1,1,2,0,0,0,0,F,2,No Deposit,0,Transient,69.35,0,1,Canceled
Resort Hotel,1,33,January,2,1,2,2,0,0,0,G,0,No Deposit,0,Transient,82,0,0,Canceled
Resort Hotel,1,108,January,2,1,2,0,0,0,0,E,0,No Deposit,0,Transient,55.8,0,2,Canceled
Resort Hotel,1,87,January,2,1,1,0,0,0,0,A,0,No Deposit,0,Transient,46.43,0,0,Canceled
Resort Hotel,1,275,January,2,1,2,0,0,0,0,D,0,No Deposit,0,Transient,51.3,0,2,Canceled
Resort Hotel,1,87,January,2,1,2,0,0,0,0,A,0,No Deposit,0,Transient,33.6,0,0,Canceled
Resort Hotel,1,106,January,2,1,2,0,0,0,0,E,1,No Deposit,0,Transient,55.8,0,2,Canceled
Resort Hotel,1,45,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,45,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,1,Canceled
Resort Hotel,1,90,January,2,1,2,0,0,0,0,A,0,No Deposit,0,Transient,29.11,0,1,Canceled
Resort Hotel,1,242,January,4,10,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,0,Canceled
Resort Hotel,1,19,January,2,2,3,1,0,0,0,H,0,No Deposit,0,Transient,93,0,1,Canceled
Resort Hotel,1,18,January,1,0,1,0,0,0,0,F,1,No Deposit,0,Transient,35,0,0,Canceled
Resort Hotel,1,281,January,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,281,January,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,1,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,27,January,1,2,1,0,0,0,0,C,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,17,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,D,1,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,17,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,0,January,1,2,1,0,0,0,0,E,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,1,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,5,January,0,1,1,0,0,0,0,C,1,No Deposit,0,Transient,35,0,0,Canceled
Resort Hotel,1,0,January,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,8,0,0,Canceled
Resort Hotel,1,16,January,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,42.43,0,1,Canceled
Resort Hotel,1,1,January,0,2,1,0,0,0,0,H,1,No Deposit,0,Transient-Party,55,0,0,Canceled
Resort Hotel,1,41,January,0,2,1,0,0,0,0,D,1,No Deposit,0,Transient-Party,55,0,0,No-Show
Resort Hotel,1,134,January,2,4,2,0,0,0,0,H,0,No Deposit,0,Transient-Party,87,0,0,Canceled
Resort Hotel,1,1,January,3,9,2,0,0,0,0,A,0,No Deposit,0,Transient,8,0,0,Canceled
Resort Hotel,1,3,January,0,1,1,0,0,0,0,D,0,No Deposit,0,Transient-Party,30,0,2,Canceled
Resort Hotel,1,3,January,0,1,1,0,0,0,0,D,0,No Deposit,0,Transient-Party,30,0,2,Canceled
Resort Hotel,1,41,January,0,2,2,0,0,0,0,A,1,No Deposit,0,Transient,57.6,0,0,Canceled
Resort Hotel,1,41,January,0,2,2,0,0,0,0,A,1,No Deposit,0,Transient,57.6,0,0,Canceled
Resort Hotel,1,135,January,2,4,2,2,0,0,0,G,3,No Deposit,0,Transient,82,0,0,Canceled
Resort Hotel,1,123,January,2,5,2,2,0,0,0,G,0,No Deposit,0,Transient,82,0,0,Canceled
Resort Hotel,1,3,January,0,1,2,0,0,0,0,E,1,No Deposit,0,Transient,60,0,0,Canceled
Resort Hotel,1,128,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,2,Canceled
Resort Hotel,1,47,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,2,Canceled
Resort Hotel,1,128,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,54,0,2,Canceled
Resort Hotel,1,10,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,123,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,2,Canceled
Resort Hotel,1,72,January,1,2,2,0,0,0,0,D,0,No Deposit,0,Transient,62,0,0,Canceled
Resort Hotel,1,86,January,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,1,Canceled
Resort Hotel,1,12,January,0,1,2,1,0,0,0,A,1,No Deposit,0,Transient,65.5,0,2,Canceled
Resort Hotel,1,43,January,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient,52,0,1,Canceled
Resort Hotel,1,15,January,2,2,2,0,0,0,0,D,0,No Deposit,0,Transient,58,0,0,Canceled
Resort Hotel,1,124,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,1,Canceled
Resort Hotel,1,44,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,103,January,4,9,2,2,0,0,0,G,0,No Deposit,0,Transient,86,0,0,Canceled
Resort Hotel,1,8,January,1,0,1,0,0,0,0,A,0,No Deposit,0,Transient,43,0,0,Canceled
Resort Hotel,1,5,January,1,1,1,0,0,0,0,D,0,No Deposit,0,Transient,35,0,0,Canceled
Resort Hotel,1,5,January,1,1,1,0,0,0,0,D,0,No Deposit,0,Transient,35,0,0,Canceled
Resort Hotel,1,5,January,1,1,1,0,0,0,0,D,0,No Deposit,0,Transient,35,0,0,Canceled
Resort Hotel,1,5,January,1,1,1,0,0,0,0,D,0,No Deposit,0,Transient,35,0,0,Canceled
Resort Hotel,1,160,January,1,4,2,0,0,0,0,E,0,No Deposit,0,Transient,55.8,0,2,Canceled
Resort Hotel,1,13,January,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,88,0,0,Canceled
Resort Hotel,1,6,January,0,2,1,0,0,0,0,A,0,No Deposit,0,Transient,35,0,0,Canceled
Resort Hotel,1,54,January,1,5,3,1,0,0,0,H,0,No Deposit,0,Transient,87,0,0,Canceled
Resort Hotel,0,0,January,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,35,0,0,Check-Out
Resort Hotel,1,33,January,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,58,0,0,Canceled
Resort Hotel,1,77,January,3,9,1,0,0,0,0,A,0,No Deposit,0,Transient,37,0,0,Canceled
Resort Hotel,1,58,January,0,2,1,0,0,0,0,D,0,No Deposit,0,Transient,72,0,1,Canceled
Resort Hotel,1,65,January,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,72,0,2,Canceled
Resort Hotel,1,281,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,0,Canceled
Resort Hotel,1,27,January,0,2,2,2,0,0,0,H,1,No Deposit,0,Transient,93,0,1,Canceled
Resort Hotel,1,24,January,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,30,January,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,78,0,0,Canceled
Resort Hotel,1,27,January,0,2,2,0,0,0,0,A,1,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,24,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,27,January,0,2,2,0,0,0,0,A,1,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,124,January,0,2,2,0,0,0,0,E,0,No Deposit,0,Transient,55.8,0,1,Canceled
Resort Hotel,1,43,January,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,48,0,0,Canceled
Resort Hotel,1,16,January,1,2,1,0,0,0,0,A,5,No Deposit,0,Transient-Party,35,0,0,Canceled
Resort Hotel,1,43,January,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,48,0,0,Canceled
Resort Hotel,1,43,January,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,48,0,0,Canceled
Resort Hotel,1,73,January,8,21,1,0,0,0,0,A,0,No Deposit,0,Transient,37.83,0,1,Canceled
Resort Hotel,1,78,January,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,1,Canceled
Resort Hotel,1,16,January,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,78,0,0,Canceled
Resort Hotel,1,17,January,0,1,1,0,0,0,0,A,0,Non Refund,0,Transient-Party,32,0,0,Canceled
Resort Hotel,1,94,January,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,1,Canceled
Resort Hotel,1,2,January,0,1,2,0,0,0,0,E,0,No Deposit,0,Transient,76,0,1,Canceled
Resort Hotel,1,17,January,0,1,2,0,0,0,0,A,0,Non Refund,0,Transient-Party,36,0,0,Canceled
Resort Hotel,1,9,January,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,3,January,0,1,2,1,0,0,0,E,0,No Deposit,0,Transient,70,0,0,No-Show
Resort Hotel,1,94,January,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,1,Canceled
Resort Hotel,1,33,January,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,18,January,0,1,2,0,0,0,0,G,0,No Deposit,0,Transient,0,0,1,Canceled
Resort Hotel,1,4,January,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,55,0,1,Canceled
Resort Hotel,1,4,January,0,1,2,0,0,0,0,F,0,No Deposit,0,Transient,0,0,0,Canceled
Resort Hotel,1,209,January,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,0,Canceled
Resort Hotel,1,5,January,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,48,0,1,No-Show
Resort Hotel,1,3,January,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,52,0,0,Canceled
Resort Hotel,1,219,January,2,2,2,0,0,0,0,E,1,No Deposit,0,Transient,50.22,0,1,Canceled
Resort Hotel,1,60,January,2,5,2,0,0,0,0,E,2,No Deposit,0,Transient,61.8,0,0,Canceled
Resort Hotel,1,178,January,8,20,2,0,0,0,0,E,0,No Deposit,0,Transient,55.8,0,3,Canceled
Resort Hotel,1,11,January,2,3,1,0,0,0,0,D,0,No Deposit,0,Transient,58,0,1,Canceled
Resort Hotel,1,84,January,2,5,2,0,0,0,0,A,4,No Deposit,0,Transient,72,0,1,Canceled
Resort Hotel,1,82,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,72,0,0,Canceled
Resort Hotel,1,125,January,2,5,2,0,0,0,0,B,1,No Deposit,0,Transient,37.8,0,0,Canceled
Resort Hotel,1,79,January,2,4,2,2,0,0,0,G,0,No Deposit,0,Transient,82,0,1,Canceled
Resort Hotel,1,12,January,1,1,1,0,0,0,0,D,0,No Deposit,0,Transient,55.1,0,1,Canceled
Resort Hotel,1,12,January,1,1,1,0,0,0,0,G,0,No Deposit,0,Transient,83.6,0,1,Canceled
Resort Hotel,1,12,January,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,72,January,1,1,2,0,0,0,0,E,0,No Deposit,0,Transient,45.36,0,0,Canceled
Resort Hotel,1,15,January,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,78,0,0,Canceled
Resort Hotel,1,71,January,1,2,2,0,0,0,0,D,3,No Deposit,0,Transient,78,0,1,Canceled
Resort Hotel,1,17,January,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,78,0,1,Canceled
Resort Hotel,1,36,January,1,2,2,0,0,0,0,A,2,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,292,January,0,4,2,0,0,0,0,E,0,No Deposit,0,Transient,55.8,0,3,Canceled
Resort Hotel,1,106,January,0,4,2,0,0,0,0,A,1,No Deposit,0,Transient,56.24,0,0,Canceled
Resort Hotel,1,20,January,2,5,2,2,0,0,0,G,0,No Deposit,0,Transient,88,0,0,Canceled
Resort Hotel,1,186,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,1,Canceled
Resort Hotel,1,76,February,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,1,Canceled
Resort Hotel,1,11,February,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,0,February,2,6,2,0,0,0,0,D,0,No Deposit,0,Transient,59,0,0,Canceled
Resort Hotel,1,123,February,4,10,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,0,Canceled
Resort Hotel,1,85,February,0,4,2,0,0,0,0,A,1,No Deposit,0,Transient,72,0,1,Canceled
Resort Hotel,1,0,February,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,55,0,0,No-Show
Resort Hotel,1,2,February,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,169,February,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,2,Canceled
Resort Hotel,1,169,February,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,3,Canceled
Resort Hotel,1,81,February,0,3,1,0,0,0,0,A,4,No Deposit,0,Transient-Party,37,0,1,Canceled
Resort Hotel,1,110,February,0,3,1,0,0,0,0,A,0,No Deposit,0,Transient,37,0,1,Canceled
Resort Hotel,1,0,February,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,43,0,0,Canceled
Resort Hotel,1,2,February,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,34.4,0,0,No-Show
Resort Hotel,1,21,February,1,2,2,0,0,0,0,D,0,No Deposit,0,Transient,78,0,0,Canceled
Resort Hotel,1,31,February,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,43,0,0,Canceled
Resort Hotel,1,98,February,2,4,2,0,0,0,0,D,6,No Deposit,0,Transient,67.33,0,3,Canceled
Resort Hotel,1,166,February,2,5,2,0,0,0,0,D,2,No Deposit,0,Transient,51.3,0,0,Canceled
Resort Hotel,1,28,February,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,31,February,2,2,1,0,0,0,0,D,0,No Deposit,0,Transient,58,0,0,Canceled
Resort Hotel,1,0,February,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,2,Canceled
Resort Hotel,1,1,February,0,1,2,0,0,0,0,E,0,No Deposit,0,Transient,68,0,1,Canceled
Resort Hotel,1,1,February,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,0,Canceled
Resort Hotel,1,1,February,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,43,0,0,Canceled
Resort Hotel,1,0,February,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,2,Canceled
Resort Hotel,1,1,February,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,43,0,0,Canceled
Resort Hotel,1,29,February,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,74.1,0,2,Canceled
Resort Hotel,1,83,February,2,2,1,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,83,February,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,37,0,0,Canceled
Resort Hotel,1,111,February,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,54,February,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient,68,0,1,Canceled
Resort Hotel,1,85,February,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,29,0,2,Canceled
Resort Hotel,1,200,February,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient,45,0,0,Canceled
Resort Hotel,1,135,February,4,7,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,2,Canceled
Resort Hotel,1,131,February,8,20,2,0,0,0,0,E,0,No Deposit,0,Transient,82.8,0,0,Canceled
Resort Hotel,1,3,February,2,0,2,0,0,0,0,A,0,No Deposit,0,Transient,54,0,0,Canceled
Resort Hotel,1,80,February,2,0,2,0,0,0,0,D,0,No Deposit,0,Transient,52,0,1,Canceled
Resort Hotel,1,145,February,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,40,February,4,7,2,0,0,0,0,E,0,No Deposit,0,Transient,68,0,1,Canceled
Resort Hotel,1,102,February,1,0,2,0,0,0,0,E,1,No Deposit,0,Transient,62,0,2,Canceled
Resort Hotel,1,102,February,1,0,2,0,0,0,0,E,1,No Deposit,0,Transient,62,0,2,Canceled
Resort Hotel,1,0,February,1,0,1,0,0,0,0,E,0,No Deposit,0,Transient,0,0,0,No-Show
Resort Hotel,1,102,February,1,0,3,1,0,0,0,H,1,No Deposit,0,Transient,93,0,2,Canceled
