"ID","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Total_Trans_Amt","Total_Trans_Ct"
710574558,"Existing Customer",47,"M",4,"Graduate","Single","$80K - $120K",41,5,3,2,26442,1642,1403,40
772198983,"Existing Customer",53,"F",2,"Graduate","Married","$40K - $60K",42,3,5,1,3024,1649,4463,89
715842183,"Existing Customer",42,"F",5,"High School","Married","Less than $40K",35,5,4,3,1514,745,4004,69
709406733,"Existing Customer",46,"M",3,"Graduate","Divorced","$80K - $120K",36,2,2,1,20434,1504,13280,106
757256358,"Existing Customer",45,"M",3,"Graduate","Single","$60K - $80K",38,1,3,3,3243,1580,15710,122
718216008,"Existing Customer",48,"M",3,"Graduate","Married","$60K - $80K",38,5,2,3,16920,2157,3275,60
712431183,"Existing Customer",52,"F",2,"Uneducated","Single","Less than $40K",37,4,3,1,2164,0,5282,80
713907633,"Existing Customer",43,"M",3,"College","Unknown","$60K - $80K",36,2,1,2,5397,1265,7791,84
715374558,"Existing Customer",26,"M",0,"College","Divorced","Less than $40K",36,5,2,3,4150,456,2483,74
778567983,"Existing Customer",50,"F",2,"Graduate","Single","$40K - $60K",43,4,1,3,1438.3,0,4512,77
810261633,"Existing Customer",44,"M",4,"Graduate","Single","$60K - $80K",39,2,2,3,9682,1727,14991,95
711515433,"Existing Customer",55,"F",2,"Unknown","Single","Less than $40K",36,3,1,2,2850,2517,4320,85
712755783,"Existing Customer",49,"F",1,"Graduate","Divorced","$40K - $60K",40,3,2,3,1438.3,0,3886,77
771719283,"Existing Customer",39,"F",4,"Doctorate","Married","Less than $40K",27,2,1,1,8587,1324,8854,92
718504983,"Existing Customer",45,"F",2,"Graduate","Married","Less than $40K",37,6,2,2,6091,0,3340,60
735008958,"Existing Customer",42,"M",5,"Unknown","Married","$60K - $80K",35,6,3,2,13650,1253,1703,53
753795633,"Attrited Customer",48,"F",2,"Uneducated","Married","Less than $40K",41,5,3,2,2964,2517,2327,38
716458983,"Existing Customer",60,"M",0,"High School","Married","$40K - $60K",36,5,1,3,3281,837,1424,29
719407983,"Existing Customer",37,"F",0,"Post-Graduate","Married","Less than $40K",25,4,3,2,2061,1483,2400,60
714886533,"Existing Customer",60,"F",2,"High School","Married","Less than $40K",36,4,3,2,3460,2517,1752,34
708580908,"Existing Customer",56,"M",3,"High School","Married","$60K - $80K",37,3,3,3,14551,2517,1373,35
713906508,"Existing Customer",42,"F",3,"Unknown","Single","Less than $40K",36,6,3,3,2837,834,3892,69
788776008,"Existing Customer",43,"M",3,"College","Married","$80K - $120K",24,6,3,1,4726,1161,4683,91
709110633,"Existing Customer",41,"M",1,"Graduate","Single","$80K - $120K",29,5,1,3,21684,1748,1329,24
719862258,"Existing Customer",38,"F",2,"Uneducated","Single","Unknown",28,2,3,3,5666,1393,5015,90
710532258,"Existing Customer",48,"F",3,"High School","Divorced","Less than $40K",36,1,1,1,2185,1495,4906,83
779310033,"Attrited Customer",42,"F",4,"Doctorate","Married","Less than $40K",24,3,2,3,4304,0,1788,36
719685408,"Attrited Customer",40,"M",2,"Uneducated","Married","$60K - $80K",29,3,2,2,6332,318,2505,43
719563158,"Existing Customer",48,"M",2,"High School","Married","$40K - $60K",36,6,3,2,4207,1921,3850,75
789983133,"Existing Customer",31,"M",2,"Graduate","Unknown","$80K - $120K",22,2,3,2,34516,1780,14185,98
716009883,"Existing Customer",41,"F",1,"Graduate","Single","$40K - $60K",28,1,3,1,8482,585,4245,74
712365483,"Existing Customer",51,"M",1,"Graduate","Single","$60K - $80K",43,5,2,4,9619,1731,3690,76
714151533,"Existing Customer",55,"F",1,"Graduate","Married","$40K - $60K",46,5,4,4,4589,1622,1569,33
719391783,"Existing Customer",46,"M",4,"Uneducated","Married","$40K - $60K",35,3,2,2,9149,1566,1790,60
779866458,"Existing Customer",40,"F",5,"Uneducated","Married","Less than $40K",24,6,1,1,2038,793,3513,67
827888433,"Existing Customer",43,"M",4,"Uneducated","Single","$40K - $60K",39,5,2,2,6648,2242,2089,60
808527183,"Existing Customer",46,"F",3,"College","Married","Less than $40K",41,4,1,1,1489,949,4669,94
714505683,"Existing Customer",51,"M",4,"Uneducated","Divorced","$80K - $120K",38,5,3,2,34516,0,3250,63
717596883,"Existing Customer",58,"F",0,"Graduate","Single","$40K - $60K",39,4,3,2,5530,1233,5270,78
720443358,"Existing Customer",50,"M",2,"Unknown","Married","$60K - $80K",36,1,3,1,8014,1250,6950,84
721072908,"Existing Customer",51,"M",0,"Doctorate","Single","$60K - $80K",36,6,2,3,3232,1346,5102,69
719136183,"Existing Customer",48,"F",3,"Uneducated","Married","Less than $40K",38,6,1,3,3541,1444,3410,69
717591483,"Existing Customer",52,"F",3,"Graduate","Single","Less than $40K",44,4,1,3,3416,2044,1924,48
709567758,"Existing Customer",40,"F",3,"Uneducated","Married","Less than $40K",29,4,1,2,2490,2225,3339,71
719532108,"Existing Customer",40,"F",5,"High School","Married","Less than $40K",31,4,2,2,2813,2208,4491,68
721344858,"Existing Customer",26,"M",0,"Uneducated","Single","Less than $40K",13,4,4,4,2237,451,2192,36
716556258,"Existing Customer",50,"F",3,"Doctorate","Single","Less than $40K",39,6,1,3,9966,0,4401,60
721067658,"Existing Customer",40,"M",4,"Graduate","Married","$60K - $80K",36,6,1,3,27436,642,4051,81
710066133,"Attrited Customer",30,"M",0,"Graduate","Single","Less than $40K",36,4,3,3,12833,0,9619,75
710401458,"Existing Customer",53,"M",3,"Unknown","Married","$80K - $120K",40,2,2,3,16747,0,4350,76
713144208,"Attrited Customer",51,"F",0,"High School","Married","Unknown",42,1,4,4,9989,568,2053,49
778924158,"Existing Customer",45,"F",2,"High School","Single","Less than $40K",26,4,3,4,1438.3,0,3749,77
718416858,"Existing Customer",42,"M",5,"Graduate","Married","$60K - $80K",34,3,3,3,10607,2517,1903,40
780588258,"Existing Customer",53,"F",5,"Unknown","Married","Less than $40K",42,1,2,2,4021,1745,14567,120
709319658,"Attrited Customer",48,"F",4,"Graduate","Single","Less than $40K",37,5,3,4,15987,0,7681,71
826775058,"Existing Customer",43,"F",3,"Uneducated","Married","Less than $40K",39,4,1,2,4175,2517,1520,36
793412958,"Existing Customer",44,"M",4,"Unknown","Married","$60K - $80K",38,3,1,3,2440,1501,4382,88
794494308,"Existing Customer",42,"M",3,"Uneducated","Married","$120K +",23,3,4,3,34516,2070,13781,102
773364483,"Existing Customer",45,"F",4,"Doctorate","Unknown","Unknown",39,4,1,2,34516,1298,1906,39
721164483,"Existing Customer",46,"F",2,"College","Married","$40K - $60K",34,2,1,3,1441,642,4894,84
718637208,"Existing Customer",54,"F",2,"Graduate","Single","Less than $40K",43,3,2,1,2019,1387,1689,36
805516608,"Existing Customer",50,"M",1,"Graduate","Married","$80K - $120K",45,2,1,3,34516,925,7755,84
716864733,"Existing Customer",47,"M",3,"College","Married","$120K +",27,6,3,3,34516,2315,1805,46
715585158,"Existing Customer",58,"M",1,"Graduate","Married","$60K - $80K",46,3,3,2,10021,1617,1275,25
713692683,"Existing Customer",41,"M",2,"Uneducated","Married","$60K - $80K",13,4,2,2,2243,1944,3216,77
773389908,"Existing Customer",37,"F",3,"High School","Single","Less than $40K",31,5,1,3,1438.3,0,2075,66
711786108,"Existing Customer",52,"M",1,"Graduate","Married","$60K - $80K",43,3,3,2,7187,2014,1159,26
770952933,"Existing Customer",53,"F",1,"Unknown","Married","Less than $40K",40,4,2,4,2383,1938,1616,37
709579383,"Existing Customer",58,"M",1,"Uneducated","Married","$80K - $120K",50,5,3,2,6978,1148,1362,26
801036033,"Existing Customer",31,"M",0,"High School","Single","$40K - $60K",25,3,2,3,4493,1388,17744,104
767653233,"Existing Customer",48,"M",3,"Graduate","Married","$60K - $80K",42,6,1,3,6085,930,3154,59
719845908,"Existing Customer",52,"F",3,"Uneducated","Single","Less than $40K",36,2,1,3,3240,0,4803,83
712184133,"Existing Customer",41,"F",5,"Graduate","Married","Less than $40K",24,2,3,3,2178,1408,5089,80
767712558,"Attrited Customer",59,"M",1,"College","Single","$60K - $80K",53,2,3,3,14979,0,530,10
804867183,"Existing Customer",37,"M",3,"Unknown","Married","$60K - $80K",30,6,2,4,16043,0,2599,47
778523733,"Existing Customer",38,"M",3,"Graduate","Single","$80K - $120K",31,6,1,2,13637,0,3625,73
708697983,"Existing Customer",56,"M",0,"High School","Unknown","$120K +",49,2,2,2,34516,2156,8766,78
779084208,"Attrited Customer",43,"F",3,"High School","Divorced","Less than $40K",24,4,2,2,1662,613,2326,31
713352183,"Existing Customer",30,"M",1,"Post-Graduate","Married","Less than $40K",17,5,1,2,7173,1227,1793,33
715447008,"Existing Customer",50,"F",3,"Graduate","Married","Less than $40K",36,2,3,2,2999,1817,5119,83
711701958,"Existing Customer",48,"M",1,"Unknown","Single","$60K - $80K",38,3,3,3,11367,1999,4175,63
720205608,"Existing Customer",52,"F",1,"Uneducated","Married","Unknown",36,6,1,1,4222,0,4487,77
709910733,"Existing Customer",49,"F",4,"High School","Single","Unknown",30,2,3,2,34516,1963,13174,86
819202533,"Existing Customer",57,"M",1,"Doctorate","Married","$80K - $120K",52,3,2,3,10378,1540,1306,32
714946908,"Existing Customer",61,"M",1,"Uneducated","Single","$40K - $60K",36,6,1,1,5039,1352,3300,68
714687858,"Existing Customer",49,"F",1,"Graduate","Single","Less than $40K",41,6,1,3,1438.3,0,4538,82
709245783,"Existing Customer",44,"F",3,"Graduate","Married","Unknown",27,5,1,1,7751,1965,4543,90
789097833,"Existing Customer",39,"F",0,"High School","Single","Less than $40K",27,4,3,3,3927,720,4230,93
779320983,"Existing Customer",46,"M",4,"Uneducated","Single","$80K - $120K",28,4,3,2,19843,1178,1638,49
714479358,"Attrited Customer",51,"M",3,"Graduate","Single","$80K - $120K",36,6,3,3,3610,1554,2216,34
720616908,"Existing Customer",54,"M",1,"Uneducated","Single","$120K +",36,5,1,2,34516,0,3918,67
712660308,"Attrited Customer",44,"F",1,"High School","Single","Less than $40K",36,2,3,3,1895,0,2472,40
715480983,"Existing Customer",55,"F",2,"College","Single","Less than $40K",36,5,2,3,5719,892,3403,68
719671383,"Existing Customer",40,"F",3,"Uneducated","Unknown","Less than $40K",30,2,3,2,2969,0,4109,70
710816358,"Existing Customer",29,"M",1,"Post-Graduate","Married","Less than $40K",18,4,3,2,2963,1466,2523,48
718455633,"Existing Customer",60,"F",0,"Graduate","Single","Unknown",55,4,3,2,7469,2517,16328,124
807349158,"Existing Customer",36,"M",4,"Doctorate","Divorced","$120K +",31,4,3,4,34516,1491,2243,60
715000383,"Existing Customer",55,"M",3,"Uneducated","Single","$80K - $120K",46,4,2,3,13598,852,4047,76
788989083,"Existing Customer",57,"F",3,"College","Single","$40K - $60K",44,3,1,2,2817,1864,4535,82
779349783,"Existing Customer",46,"M",3,"Doctorate","Married","$60K - $80K",31,2,2,2,21161,1198,13119,104
719724933,"Existing Customer",58,"F",1,"Uneducated","Married","Less than $40K",51,5,4,2,2220,1240,4396,78
716551533,"Existing Customer",47,"F",1,"High School","Single","Unknown",36,2,1,3,2874,2201,4779,86
804403908,"Existing Customer",50,"M",3,"Graduate","Single","$60K - $80K",45,4,2,3,21872,1118,1806,31
714621183,"Existing Customer",39,"F",3,"Graduate","Single","Less than $40K",36,4,3,4,2650,1646,4512,80
753094533,"Existing Customer",51,"M",3,"Uneducated","Married","$80K - $120K",44,3,3,3,24028,0,3531,73
779327733,"Existing Customer",43,"M",1,"Graduate","Divorced","$60K - $80K",25,4,3,3,1783,1014,3861,81
713972658,"Existing Customer",56,"F",2,"Graduate","Married","Unknown",36,3,3,2,5335,996,1454,43
780730008,"Existing Customer",51,"M",2,"College","Single","$120K +",36,2,2,2,3477,752,13627,120
718246458,"Existing Customer",53,"M",3,"Graduate","Single","$80K - $120K",45,2,1,2,24262,1984,8241,105
717087858,"Existing Customer",51,"F",1,"Graduate","Single","$40K - $60K",36,3,3,1,2146,967,4253,74
712665633,"Existing Customer",43,"F",3,"Graduate","Married","Less than $40K",30,6,1,4,12952,1864,3472,51
711205758,"Attrited Customer",45,"M",3,"College","Single","$80K - $120K",33,1,3,3,34516,0,2534,43
718797558,"Existing Customer",39,"F",1,"Graduate","Married","Unknown",30,3,2,3,2917,1357,2422,46
716675358,"Existing Customer",54,"F",1,"College","Single","Less than $40K",41,5,2,2,3478,941,4607,83
718708908,"Existing Customer",58,"M",4,"Graduate","Married","$60K - $80K",36,6,2,4,5967,2350,1426,29
717908208,"Existing Customer",43,"F",3,"Graduate","Divorced","Less than $40K",36,6,1,2,2525,1595,4859,82
710727333,"Attrited Customer",49,"F",3,"High School","Married","Less than $40K",36,4,2,2,1763,0,2813,43
712105533,"Existing Customer",32,"M",2,"High School","Single","$40K - $60K",20,6,3,4,2235,1638,2905,56
708633783,"Attrited Customer",43,"M",3,"Uneducated","Single","$80K - $120K",30,3,2,4,11336,0,1809,39
720626058,"Existing Customer",37,"M",1,"Graduate","Single","$80K - $120K",24,4,4,4,34516,934,1768,52
815320383,"Attrited Customer",46,"F",3,"Unknown","Unknown","Less than $40K",41,5,3,2,4710,0,2690,43
806908608,"Existing Customer",46,"F",2,"Unknown","Married","Less than $40K",41,5,2,3,1438.3,0,3942,78
713872008,"Existing Customer",49,"F",1,"High School","Married","Less than $40K",42,1,3,1,2215,1347,4656,72
713167383,"Existing Customer",57,"F",3,"High School","Single","Less than $40K",46,1,2,2,2298,1540,5154,81
721473783,"Existing Customer",35,"F",3,"Graduate","Married","Less than $40K",21,3,1,1,2272,604,4614,75
713746608,"Existing Customer",48,"F",2,"High School","Married","Unknown",37,3,2,2,8446,908,4240,67
780040758,"Existing Customer",40,"F",4,"College","Married","$40K - $60K",24,5,3,2,2606,1818,1999,50
715534083,"Existing Customer",46,"F",2,"College","Single","Unknown",33,2,3,1,2168,1334,4043,73
708621408,"Existing Customer",39,"F",1,"Unknown","Single","Less than $40K",28,3,2,1,1438.3,0,4173,82
712029783,"Existing Customer",42,"M",4,"Uneducated","Single","$80K - $120K",36,2,2,1,34516,2253,7836,93
713295183,"Existing Customer",48,"M",2,"Graduate","Divorced","$80K - $120K",29,6,2,3,24446,1854,3897,75
768544833,"Existing Customer",45,"F",4,"Uneducated","Single","Less than $40K",39,6,2,3,2202,1414,4531,77
718730283,"Existing Customer",38,"F",2,"Graduate","Married","Less than $40K",18,5,3,3,1686,1206,4891,68
719250783,"Existing Customer",41,"F",1,"High School","Single","Less than $40K",31,4,2,1,1998,0,4637,68
711549408,"Existing Customer",51,"M",3,"Uneducated","Married","$80K - $120K",42,5,1,3,1507,961,4126,90
717001908,"Attrited Customer",41,"F",5,"Graduate","Married","Less than $40K",28,6,2,2,6936,0,2874,44
714103083,"Existing Customer",47,"M",2,"College","Married","$40K - $60K",37,6,3,1,3263,1525,14649,110
715550508,"Existing Customer",45,"F",3,"Unknown","Married","Unknown",28,5,1,2,2535,2440,1312,20
709585758,"Existing Customer",41,"M",4,"High School","Single","$120K +",28,5,1,4,34516,0,4004,86
719239158,"Existing Customer",48,"M",3,"High School","Married","$60K - $80K",39,4,3,2,5448,0,3912,72
768460908,"Existing Customer",59,"M",1,"Graduate","Single","$40K - $60K",53,3,3,3,6035,1392,1551,32
718663983,"Existing Customer",38,"F",1,"Doctorate","Single","Less than $40K",36,2,2,2,3466,2517,13140,94
813261408,"Existing Customer",52,"F",1,"Uneducated","Married","$40K - $60K",47,6,3,3,2151,1338,3446,58
717945108,"Existing Customer",49,"F",3,"Graduate","Unknown","$40K - $60K",36,6,1,2,3088,1477,5095,77
713512308,"Attrited Customer",50,"F",0,"Graduate","Single","Less than $40K",41,2,3,1,3423,0,2229,45
715588908,"Existing Customer",42,"F",4,"Graduate","Single","Less than $40K",32,3,2,3,6158,0,3132,66
715055433,"Existing Customer",36,"M",3,"Uneducated","Married","$60K - $80K",22,6,3,4,2224,1772,2004,44
786557358,"Existing Customer",44,"F",1,"Unknown","Married","Less than $40K",38,5,2,4,3242,799,1424,37
716878533,"Existing Customer",55,"M",2,"Unknown","Married","$80K - $120K",46,4,1,1,10979,1889,1425,33
714725883,"Existing Customer",41,"F",4,"Graduate","Divorced","$40K - $60K",36,4,1,0,5654,2470,15123,111
709500183,"Attrited Customer",46,"F",3,"College","Married","Less than $40K",36,2,3,4,1804,0,2077,44
709112508,"Attrited Customer",42,"F",3,"College","Single","Less than $40K",36,3,3,4,3802,1300,2165,36
718772133,"Existing Customer",56,"M",3,"Graduate","Married","$80K - $120K",47,6,3,3,10230,1082,1484,34
711136008,"Existing Customer",41,"M",4,"Graduate","Single","$80K - $120K",33,1,1,3,31560,1298,7641,93
794627208,"Existing Customer",43,"M",1,"High School","Married","$60K - $80K",23,4,3,2,7189,1550,1935,52
713592408,"Existing Customer",43,"F",3,"High School","Married","Less than $40K",28,3,3,2,2590,0,3391,66
785285883,"Attrited Customer",49,"F",3,"Graduate","Single","Less than $40K",43,6,3,4,1675,0,2622,53
716860233,"Existing Customer",51,"F",3,"Uneducated","Married","Less than $40K",39,3,3,0,8148,701,4124,87
717132633,"Existing Customer",62,"M",0,"Uneducated","Single","$40K - $60K",50,3,2,2,7348,1466,3066,61
753226158,"Existing Customer",34,"F",2,"Graduate","Married","Less than $40K",24,6,2,2,3663,1853,1826,35
772468983,"Existing Customer",36,"M",1,"Post-Graduate","Married","$80K - $120K",26,3,4,2,21927,1291,1946,37
715309083,"Existing Customer",50,"F",2,"Graduate","Married","Less than $40K",36,2,3,2,1912,0,4851,87
827451333,"Attrited Customer",54,"F",2,"Uneducated","Married","Less than $40K",50,3,6,3,2247,0,2615,37
769574883,"Existing Customer",41,"M",2,"High School","Married","$40K - $60K",32,3,1,3,12804,2517,1101,37
714034158,"Existing Customer",46,"F",4,"Unknown","Married","Less than $40K",38,5,2,3,3331,1307,3946,69
710512833,"Existing Customer",38,"F",2,"Graduate","Married","Less than $40K",29,6,1,1,3304,1338,5178,79
709272333,"Existing Customer",59,"F",1,"Uneducated","Unknown","Less than $40K",45,6,3,3,9899,2023,4579,73
718388733,"Existing Customer",38,"F",1,"College","Unknown","Less than $40K",32,2,3,3,2609,1259,8677,96
786509358,"Existing Customer",44,"M",3,"Unknown","Married","$80K - $120K",38,3,1,4,4198,1782,2051,36
771666783,"Existing Customer",43,"F",5,"College","Married","$40K - $60K",31,5,1,1,5302,1136,4883,68
711792783,"Existing Customer",45,"F",3,"Unknown","Divorced","$40K - $60K",26,1,1,2,2032,1195,4479,80
708532308,"Existing Customer",37,"M",2,"Uneducated","Single","$60K - $80K",36,4,2,2,11419,2517,3000,70
718206783,"Existing Customer",45,"F",4,"Unknown","Single","Less than $40K",36,6,1,3,15987,1648,1436,36
718343058,"Existing Customer",52,"F",2,"High School","Divorced","Less than $40K",40,1,2,3,5240,2517,14161,105
820268358,"Existing Customer",48,"F",4,"Post-Graduate","Unknown","Less than $40K",43,4,1,3,2357,1462,4534,75
718888308,"Existing Customer",53,"M",3,"Graduate","Single","$80K - $120K",36,4,3,2,34516,2517,1475,33
715497558,"Attrited Customer",44,"F",1,"College","Married","Less than $40K",36,6,3,3,3052,0,2598,47
798120858,"Existing Customer",37,"M",3,"Uneducated","Married","$80K - $120K",31,4,2,2,3797,1425,2555,44
818308533,"Existing Customer",47,"M",5,"Post-Graduate","Married","Less than $40K",41,4,2,1,3532,0,3162,56
806392908,"Existing Customer",52,"F",4,"High School","Single","Unknown",47,6,2,3,7469,2338,1212,33
708347583,"Existing Customer",37,"F",4,"Uneducated","Married","Less than $40K",36,4,1,4,2509,1144,1804,38
710436108,"Existing Customer",41,"M",4,"High School","Unknown","$40K - $60K",29,5,4,2,3600,746,4184,61
780707733,"Existing Customer",41,"M",1,"Graduate","Married","$80K - $120K",30,3,3,2,34516,2109,6832,87
709465758,"Existing Customer",62,"F",1,"Post-Graduate","Married","Less than $40K",53,3,1,3,1438.3,0,902,31
716739258,"Existing Customer",43,"F",4,"Unknown","Single","Less than $40K",33,5,2,4,1438.3,0,3932,62
708416433,"Attrited Customer",41,"F",1,"High School","Single","Less than $40K",36,4,3,2,2372,0,2499,41
709607733,"Existing Customer",40,"F",3,"College","Married","Unknown",36,4,2,4,9191,1666,4275,83
717403158,"Existing Customer",60,"F",0,"Uneducated","Single","Less than $40K",47,1,2,2,9634,2076,14218,102
714600258,"Existing Customer",45,"M",2,"Post-Graduate","Married","$60K - $80K",36,1,2,2,5945,2015,3645,70
714032883,"Existing Customer",45,"M",2,"College","Unknown","$40K - $60K",36,1,1,1,4718,1591,4598,80
717268458,"Existing Customer",61,"M",0,"Graduate","Married","$60K - $80K",49,4,3,4,3352,1713,1952,50
708204033,"Existing Customer",36,"F",5,"Unknown","Single","Less than $40K",24,3,1,1,2980,2093,4132,70
712024908,"Existing Customer",56,"F",1,"College","Married","Less than $40K",36,6,2,3,2641,1257,1439,39
721174008,"Existing Customer",37,"M",2,"Uneducated","Married","$120K +",23,4,3,3,7607,2170,4495,77
714196008,"Existing Customer",43,"M",2,"Graduate","Unknown","$60K - $80K",25,5,3,1,7534,0,4685,79
708794133,"Existing Customer",46,"F",4,"High School","Unknown","Less than $40K",37,3,1,4,2533,2136,3197,50
712709508,"Existing Customer",48,"F",2,"Unknown","Single","Unknown",40,3,3,4,8012,0,2645,63
766322883,"Existing Customer",33,"F",3,"College","Single","$40K - $60K",26,6,3,5,6316,1344,2401,71
714387108,"Existing Customer",51,"M",3,"Graduate","Single","$80K - $120K",43,4,2,3,10458,0,3481,51
719925483,"Existing Customer",46,"M",4,"Graduate","Married","$80K - $120K",36,2,1,1,2171,1043,4531,88
710853033,"Existing Customer",36,"F",1,"Doctorate","Unknown","Less than $40K",36,3,2,2,4943,1204,4024,82
720674133,"Existing Customer",36,"M",1,"Uneducated","Married","$40K - $60K",16,5,3,2,3735,2027,1672,48
721347408,"Existing Customer",55,"F",1,"High School","Single","Less than $40K",43,4,2,0,2569,1403,1456,39
784734258,"Existing Customer",56,"F",2,"Unknown","Divorced","$40K - $60K",50,5,2,2,5084,1683,4060,55
710202783,"Existing Customer",33,"M",2,"Graduate","Married","$60K - $80K",13,3,3,3,1963,1721,1378,37
768243858,"Attrited Customer",54,"M",3,"High School","Married","$80K - $120K",48,3,4,3,3288,2517,2717,46
711692508,"Attrited Customer",54,"F",2,"Post-Graduate","Married","Less than $40K",47,3,4,3,1438.3,0,1154,22
719606133,"Existing Customer",42,"M",2,"Graduate","Single","$60K - $80K",31,3,2,1,5169,2296,4656,88
712662783,"Attrited Customer",43,"F",2,"College","Married","Unknown",36,1,2,6,3793,2517,2577,57
710663508,"Existing Customer",42,"M",4,"Uneducated","Married","$40K - $60K",33,1,2,2,3108,2280,14763,99
720801033,"Existing Customer",51,"F",1,"High School","Married","Unknown",36,3,2,3,9095,2517,1347,27
